Timestamp,Model,Process,Metric,Score
2025-08-08 21:17:15,Model 1,Validation,MSE,0.0032
2025-08-08 21:17:15,Model 1,Validation,MAE,0.0358
2025-08-08 21:17:15,Model 1,Validation,MAPE,7649439514624.0000
2025-08-08 21:17:15,Model 1,Validation,R2,0.8588
2025-08-08 21:17:15,Model 1,Validation,EVS,0.8595
2025-08-08 21:17:15,Model 1,Test,MSE,0.1454
2025-08-08 21:17:15,Model 1,Test,MAE,0.2802
2025-08-08 21:17:15,Model 1,Test,MAPE,226585.6719
2025-08-08 21:17:15,Model 1,Test,R2,-1612.6378
2025-08-08 21:17:15,Model 1,Test,EVS,-105.2960
2025-08-08 21:17:15,Model 1,Validation,Time,397.3308548927307
2025-08-08 21:17:15,Model 1,Test,Time,0.014066219329833984
2025-08-08 21:25:10,Model 2,Validation,MSE,0.0056
2025-08-08 21:25:10,Model 2,Validation,MAE,0.0532
2025-08-08 21:25:10,Model 2,Validation,MAPE,11036859039744.0000
2025-08-08 21:25:10,Model 2,Validation,R2,0.8298
2025-08-08 21:25:10,Model 2,Validation,EVS,0.8424
2025-08-08 21:25:10,Model 2,Test,MSE,0.1403
2025-08-08 21:25:10,Model 2,Test,MAE,0.2763
2025-08-08 21:25:10,Model 2,Test,MAPE,1341658.8750
2025-08-08 21:25:10,Model 2,Test,R2,-2699.5925
2025-08-08 21:25:10,Model 2,Test,EVS,-54.8823
2025-08-08 21:25:10,Model 2,Validation,Time,404.8041489124298
2025-08-08 21:25:10,Model 2,Test,Time,0.01690816879272461
