Timestamp,Model,Process,Metric,Score
2025-08-26 20:56:37,Model 1,Validation,MSE,0.0050
2025-08-26 20:56:37,Model 1,Validation,MAE,0.0449
2025-08-26 20:56:37,Model 1,Validation,MAPE,0.0905
2025-08-26 20:56:37,Model 1,Validation,R2,0.5571
2025-08-26 20:56:37,Model 1,Validation,EVS,0.5648
2025-08-26 20:56:37,Model 1,Test,MSE,0.0060
2025-08-26 20:56:37,Model 1,Test,MAE,0.0473
2025-08-26 20:56:37,Model 1,Test,MAPE,0.1034
2025-08-26 20:56:37,Model 1,Test,R2,0.0747
2025-08-26 20:56:37,Model 1,Test,EVS,0.1845
2025-08-26 20:56:37,Model 1,Validation,Time,1214.9321
2025-08-26 20:56:37,Model 1,Test,Time,0.0340
2025-08-26 21:18:07,Model 2,Validation,MSE,0.0050
2025-08-26 21:18:07,Model 2,Validation,MAE,0.0450
2025-08-26 21:18:07,Model 2,Validation,MAPE,0.0906
2025-08-26 21:18:07,Model 2,Validation,R2,0.5682
2025-08-26 21:18:07,Model 2,Validation,EVS,0.5688
2025-08-26 21:18:07,Model 2,Test,MSE,0.0069
2025-08-26 21:18:07,Model 2,Test,MAE,0.0554
2025-08-26 21:18:07,Model 2,Test,MAPE,0.1192
2025-08-26 21:18:07,Model 2,Test,R2,-0.0742
2025-08-26 21:18:07,Model 2,Test,EVS,0.0773
2025-08-26 21:18:07,Model 2,Validation,Time,1233.3961
2025-08-26 21:18:07,Model 2,Test,Time,0.0294
