Timestamp,Model,Process,Metric,Score
2025-09-19 14:16:02,Model 1,Validation,MSE,0.0690
2025-09-19 14:16:02,Model 1,Validation,MAE,0.2243
2025-09-19 14:16:02,Model 1,Validation,MAPE,764962666446848.0000
2025-09-19 14:16:02,Model 1,Validation,R2,-0.5283
2025-09-19 14:16:02,Model 1,Validation,EVS,-0.1055
2025-09-19 14:16:02,Model 1,Test,MSE,0.0604
2025-09-19 14:16:02,Model 1,Test,MAE,0.1953
2025-09-19 14:16:02,Model 1,Test,MAPE,1.4668
2025-09-19 14:16:02,Model 1,Test,R2,-1084.9993
2025-09-19 14:16:02,Model 1,Test,EVS,-1.9597
2025-09-19 14:16:02,Model 1,encrypted-fhe,MSE,5418.2221
2025-09-19 14:16:02,Model 1,encrypted-fhe,MAE,73.6083
2025-09-19 14:16:02,Model 1,encrypted-fhe,MAPE,285149761960033120.0000
2025-09-19 14:16:02,Model 1,encrypted-fhe,R2,-58539.0199
2025-09-19 14:16:02,Model 1,encrypted-fhe,EVS,-0.0067
2025-09-19 14:16:02,Model 1,Validation,Time,7.0629
2025-09-19 14:16:02,Model 1,Test,Time,0.0005
2025-09-19 14:16:02,Model 1,encrypted-fhe,Time,4.0115
2025-09-19 14:16:02,Model 1,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:16:02,Model 1,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:16:02,Model 1,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:16:02,Model 1,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:16:02,Model 1,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:21:32,Model 2,Validation,MSE,0.0386
2025-09-19 14:21:32,Model 2,Validation,MAE,0.1256
2025-09-19 14:21:32,Model 2,Validation,MAPE,287506117427200.0000
2025-09-19 14:21:32,Model 2,Validation,R2,-0.5870
2025-09-19 14:21:32,Model 2,Validation,EVS,0.0343
2025-09-19 14:21:32,Model 2,Test,MSE,0.0441
2025-09-19 14:21:32,Model 2,Test,MAE,0.1464
2025-09-19 14:21:32,Model 2,Test,MAPE,1.5980
2025-09-19 14:21:32,Model 2,Test,R2,-180.1742
2025-09-19 14:21:32,Model 2,Test,EVS,-7.2323
2025-09-19 14:21:32,Model 2,encrypted-fhe,MSE,11.8849
2025-09-19 14:21:32,Model 2,encrypted-fhe,MAE,3.4428
2025-09-19 14:21:32,Model 2,encrypted-fhe,MAPE,13582358820632498.0000
2025-09-19 14:21:32,Model 2,encrypted-fhe,R2,-104.0642
2025-09-19 14:21:32,Model 2,encrypted-fhe,EVS,0.0338
2025-09-19 14:21:32,Model 2,Validation,Time,6.7823
2025-09-19 14:21:32,Model 2,Test,Time,0.0004
2025-09-19 14:21:32,Model 2,encrypted-fhe,Time,4.0129
2025-09-19 14:21:32,Model 2,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:21:32,Model 2,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:21:32,Model 2,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:21:32,Model 2,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:21:32,Model 2,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:24:39,Model 3,Validation,MSE,0.0369
2025-09-19 14:24:39,Model 3,Validation,MAE,0.1211
2025-09-19 14:24:39,Model 3,Validation,MAPE,272262120865792.0000
2025-09-19 14:24:39,Model 3,Validation,R2,-0.5700
2025-09-19 14:24:39,Model 3,Validation,EVS,0.0299
2025-09-19 14:24:39,Model 3,Test,MSE,0.0395
2025-09-19 14:24:39,Model 3,Test,MAE,0.1293
2025-09-19 14:24:39,Model 3,Test,MAPE,1.4614
2025-09-19 14:24:39,Model 3,Test,R2,-564.7572
2025-09-19 14:24:39,Model 3,Test,EVS,-34.7752
2025-09-19 14:24:39,Model 3,encrypted-fhe,MSE,242.5356
2025-09-19 14:24:39,Model 3,encrypted-fhe,MAE,15.5723
2025-09-19 14:24:39,Model 3,encrypted-fhe,MAPE,60030621896056432.0000
2025-09-19 14:24:39,Model 3,encrypted-fhe,R2,-2760.1597
2025-09-19 14:24:39,Model 3,encrypted-fhe,EVS,0.0800
2025-09-19 14:24:39,Model 3,Validation,Time,6.9365
2025-09-19 14:24:39,Model 3,Test,Time,0.0004
2025-09-19 14:24:39,Model 3,encrypted-fhe,Time,4.0181
2025-09-19 14:24:39,Model 3,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:24:39,Model 3,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:24:39,Model 3,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:24:39,Model 3,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:24:39,Model 3,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:27:30,Model 4,Validation,MSE,0.0368
2025-09-19 14:27:30,Model 4,Validation,MAE,0.1276
2025-09-19 14:27:30,Model 4,Validation,MAPE,309884507652096.0000
2025-09-19 14:27:30,Model 4,Validation,R2,-0.5275
2025-09-19 14:27:30,Model 4,Validation,EVS,0.0358
2025-09-19 14:27:30,Model 4,Test,MSE,0.0402
2025-09-19 14:27:30,Model 4,Test,MAE,0.1400
2025-09-19 14:27:30,Model 4,Test,MAPE,1.3675
2025-09-19 14:27:30,Model 4,Test,R2,-793.4693
2025-09-19 14:27:30,Model 4,Test,EVS,-25.9035
2025-09-19 14:27:30,Model 4,encrypted-fhe,MSE,275.3161
2025-09-19 14:27:30,Model 4,encrypted-fhe,MAE,16.5915
2025-09-19 14:27:30,Model 4,encrypted-fhe,MAPE,63974382374551920.0000
2025-09-19 14:27:30,Model 4,encrypted-fhe,R2,-3126.9418
2025-09-19 14:27:30,Model 4,encrypted-fhe,EVS,0.0853
2025-09-19 14:27:30,Model 4,Validation,Time,6.9325
2025-09-19 14:27:30,Model 4,Test,Time,0.0023
2025-09-19 14:27:30,Model 4,encrypted-fhe,Time,3.9912
2025-09-19 14:27:30,Model 4,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:27:30,Model 4,encrypted-fhe,PolyModulusDegree,32768.0000
