Timestamp,Model,Process,Metric,Score
2025-08-23 07:44:31,Model 1,Validation,MSE,0.0089
2025-08-23 07:44:31,Model 1,Validation,MAE,0.0680
2025-08-23 07:44:31,Model 1,Validation,MAPE,0.1357
2025-08-23 07:44:31,Model 1,Validation,R2,0.2402
2025-08-23 07:44:31,Model 1,Validation,EVS,0.3071
2025-08-23 07:44:31,Model 1,Test,MSE,0.0083
2025-08-23 07:44:31,Model 1,Test,MAE,0.0696
2025-08-23 07:44:31,Model 1,Test,MAPE,0.1679
2025-08-23 07:44:31,Model 1,Test,R2,0.3771
2025-08-23 07:44:31,Model 1,Test,EVS,0.4027
2025-08-23 07:44:31,Model 1,encrypted-fhe,MSE,0.0082
2025-08-23 07:44:31,Model 1,encrypted-fhe,MAE,0.0640
2025-08-23 07:44:31,Model 1,encrypted-fhe,MAPE,0.1632
2025-08-23 07:44:31,Model 1,encrypted-fhe,R2,-0.2339
2025-08-23 07:44:31,Model 1,encrypted-fhe,EVS,0.0197
2025-08-23 07:44:31,Model 1,Validation,Time,14.2957
2025-08-23 07:44:31,Model 1,Test,Time,0.0008
2025-08-23 07:44:31,Model 1,encrypted-fhe,Time,54.5538
2025-08-23 07:44:31,Model 1,encrypted-fhe,EncryptionScheme,CKKS
2025-08-23 07:44:31,Model 1,encrypted-fhe,PolyModulusDegree,8192.0000
2025-08-23 07:44:31,Model 1,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-08-23 07:44:31,Model 1,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-08-23 07:44:31,Model 1,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:09:10,Model 2,Validation,MSE,0.0720
2025-09-16 09:09:10,Model 2,Validation,MAE,0.2235
2025-09-16 09:09:10,Model 2,Validation,MAPE,0.4302
2025-09-16 09:09:10,Model 2,Validation,R2,-5.5673
2025-09-16 09:09:10,Model 2,Validation,EVS,-3.7387
2025-09-16 09:09:10,Model 2,Test,MSE,0.0763
2025-09-16 09:09:10,Model 2,Test,MAE,0.2335
2025-09-16 09:09:10,Model 2,Test,MAPE,0.4345
2025-09-16 09:09:10,Model 2,Test,R2,-5.2020
2025-09-16 09:09:10,Model 2,Test,EVS,-4.5402
2025-09-16 09:09:10,Model 2,encrypted-fhe,MSE,0.0374
2025-09-16 09:09:10,Model 2,encrypted-fhe,MAE,0.1622
2025-09-16 09:09:10,Model 2,encrypted-fhe,MAPE,0.3505
2025-09-16 09:09:10,Model 2,encrypted-fhe,R2,-4.1283
2025-09-16 09:09:10,Model 2,encrypted-fhe,EVS,-2.6071
2025-09-16 09:09:10,Model 2,Validation,Time,14.8923
2025-09-16 09:09:10,Model 2,Test,Time,0.0027
2025-09-16 09:09:10,Model 2,encrypted-fhe,Time,54.2665
2025-09-16 09:09:10,Model 2,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:09:10,Model 2,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:09:10,Model 2,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:09:10,Model 2,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:09:10,Model 2,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:15:42,Model 3,Validation,MSE,0.0135
2025-09-16 09:15:42,Model 3,Validation,MAE,0.0900
2025-09-16 09:15:42,Model 3,Validation,MAPE,0.1885
2025-09-16 09:15:42,Model 3,Validation,R2,-0.1678
2025-09-16 09:15:42,Model 3,Validation,EVS,-0.0992
2025-09-16 09:15:42,Model 3,Test,MSE,0.0157
2025-09-16 09:15:42,Model 3,Test,MAE,0.1052
2025-09-16 09:15:42,Model 3,Test,MAPE,0.2248
2025-09-16 09:15:42,Model 3,Test,R2,-0.2085
2025-09-16 09:15:42,Model 3,Test,EVS,-0.0467
2025-09-16 09:15:42,Model 3,encrypted-fhe,MSE,0.0153
2025-09-16 09:15:42,Model 3,encrypted-fhe,MAE,0.0937
2025-09-16 09:15:42,Model 3,encrypted-fhe,MAPE,0.2533
2025-09-16 09:15:42,Model 3,encrypted-fhe,R2,-0.7479
2025-09-16 09:15:42,Model 3,encrypted-fhe,EVS,0.0417
2025-09-16 09:15:42,Model 3,Validation,Time,12.9175
2025-09-16 09:15:42,Model 3,Test,Time,0.0013
2025-09-16 09:15:42,Model 3,encrypted-fhe,Time,54.3140
2025-09-16 09:15:42,Model 3,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:15:42,Model 3,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:15:42,Model 3,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:15:42,Model 3,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:15:42,Model 3,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:21:07,Model 4,Validation,MSE,0.0087
2025-09-16 09:21:07,Model 4,Validation,MAE,0.0684
2025-09-16 09:21:07,Model 4,Validation,MAPE,0.1412
2025-09-16 09:21:07,Model 4,Validation,R2,0.2811
2025-09-16 09:21:07,Model 4,Validation,EVS,0.2862
2025-09-16 09:21:07,Model 4,Test,MSE,0.0102
2025-09-16 09:21:07,Model 4,Test,MAE,0.0741
2025-09-16 09:21:07,Model 4,Test,MAPE,0.1798
2025-09-16 09:21:07,Model 4,Test,R2,0.2306
