Timestamp,Model,Process,Metric,Score
2025-09-19 03:28:10,Model 1,Validation,acc,0.2700
2025-09-19 03:28:10,Model 1,Validation,ps,0.4958
2025-09-19 03:28:10,Model 1,Validation,recall,0.2669
2025-09-19 03:28:10,Model 1,Validation,f1,0.2008
2025-09-19 03:28:10,Model 1,Test,acc,0.2602
2025-09-19 03:28:10,Model 1,Test,ps,0.4079
2025-09-19 03:28:10,Model 1,Test,recall,0.2683
2025-09-19 03:28:10,Model 1,Test,f1,0.1982
2025-09-19 03:28:10,Model 1,encrypted-fhe,acc,0.2583
2025-09-19 03:28:10,Model 1,encrypted-fhe,ps,0.4681
2025-09-19 03:28:10,Model 1,encrypted-fhe,recall,0.2645
2025-09-19 03:28:10,Model 1,encrypted-fhe,f1,0.1972
2025-09-19 03:28:10,Model 1,Validation,Time,15.7415
2025-09-19 03:28:10,Model 1,Test,Time,0.0225
2025-09-19 03:28:10,Model 1,encrypted-fhe,Time,303.3036
2025-09-19 03:28:10,Model 1,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 03:28:10,Model 1,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-19 03:28:10,Model 1,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-19 03:28:10,Model 1,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-19 03:28:10,Model 1,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-19 03:35:34,Model 2,Validation,acc,0.8703
2025-09-19 03:35:34,Model 2,Validation,ps,0.8674
2025-09-19 03:35:34,Model 2,Validation,recall,0.8658
2025-09-19 03:35:34,Model 2,Validation,f1,0.8659
2025-09-19 03:35:34,Model 2,Test,acc,0.8616
2025-09-19 03:35:34,Model 2,Test,ps,0.8585
2025-09-19 03:35:34,Model 2,Test,recall,0.8595
2025-09-19 03:35:34,Model 2,Test,f1,0.8581
2025-09-19 03:35:34,Model 2,encrypted-fhe,acc,0.8917
2025-09-19 03:35:34,Model 2,encrypted-fhe,ps,0.8788
2025-09-19 03:35:34,Model 2,encrypted-fhe,recall,0.8793
2025-09-19 03:35:34,Model 2,encrypted-fhe,f1,0.8772
2025-09-19 03:35:34,Model 2,Validation,Time,16.9753
